# CSV-File created with merge-csv.com,,,,,,
title, link ,,lat,lon,,
Milford Public Library.,http://www.milford.lib.in.us/,IN,39.849426,-86.258278,,
Mishawaka-Penn Public Library,http://www.mphpl.org/,IN,39.849426,-86.258278,,
Mitchell Community Public Library,http://www.mitchell.lib.in.us/,IN,39.849426,-86.258278,,
Monroe County Public Library.,http://www.monroe.lib.in.us/,IN,39.849426,-86.258278,,
Monticello-Union Township Public Library,http://www.monticello.lib.in.us/,IN,39.849426,-86.258278,,
Montpelier Public Library,http://montpelierpubliclibrary.oplin.org/,IN,39.849426,-86.258278,,
Mooresville Public Library.,http://mooresvillelib.org/,IN,39.849426,-86.258278,,
Morgan County Public Library - Indiana,http://morg.lib.in.us/,IN,39.849426,-86.258278,,
Morrisson-Reeves Library,http://www.mrlinfo.org/,IN,39.849426,-86.258278,,
Mulberry Community Public Library,http://fcpl.accs.net/mulb.htm,IN,39.849426,-86.258278,,
Muncie Public Library,http://www.munciepubliclibrary.org/,IN,39.849426,-86.258278,,
Nappanee Public Library,http://www.nappanee.lib.in.us/,IN,39.849426,-86.258278,,
New Albany-Floyd County Public Library,http://www.nafclibrary.org/,IN,39.849426,-86.258278,,
New Carlisle - Olive Township Public Library,http://www.ncpl.lib.in.us/,IN,39.849426,-86.258278,,
New Castle - Henry County Public Library,http://www.nchcpl.org/,IN,39.849426,-86.258278,,
Newport - Vermillion County Library,http://www.newportlibrary.info/,IN,39.849426,-86.258278,,
Noble County Public Library,http://www.nobleco.lib.in.us/,IN,39.849426,-86.258278,,
North Judson-Wayne Township Library,http://www.njwt.lib.in.us/,IN,39.849426,-86.258278,,
North Madison County Public Library System,http://www.elwood.lib.in.us/,IN,39.849426,-86.258278,,
North Manchester Public Library,http://www.nman.lib.in.us/,IN,39.849426,-86.258278,,
Odon Winkelpleck Public Library,http://owpl.blogspot.com/,IN,39.849426,-86.258278,,
Ohio Township Public Library,http://www.ohio.lib.in.us/,IN,39.849426,-86.258278,,
Old Cathedral Library & Museum,http://www.evansville-diocese.org/chancellor/oldcathedral.htm,IN,39.849426,-86.258278,,
Osgood Public Library,http://www.osgoodlibrary.org/,IN,39.849426,-86.258278,,
Owen County Public Library,http://www.owenlib.org/,IN,39.849426,-86.258278,,
Oxford Public Library - Indiana,http://oxfordpubliclibrary.net/,IN,39.849426,-86.258278,,
Pendleton Community Library,http://www.pendleton.lib.in.us/,IN,39.849426,-86.258278,,
Peru Public Library,http://perupubliclibrary.yolasite.com/,IN,39.849426,-86.258278,,
Pike County Public Library - Indiana,http://www.pikeco.lib.in.us/,IN,39.849426,-86.258278,,
Plainfield Public Library - Indiana,http://www.plainfield.lib.in.us/,IN,39.849426,-86.258278,,
Plymouth Public Library - Indiana,http://www.plymouth.lib.in.us/,IN,39.849426,-86.258278,,
Porter County Public Library System,http://www.pcpls.lib.in.us/,IN,39.849426,-86.258278,,
Poseyville Carnegie Public Library,http://www.pcpl.lib.in.us/,IN,39.849426,-86.258278,,
Putnam County Public Library,http://www.putnam.lib.in.us/joomla/,IN,39.849426,-86.258278,,
Remington-Carpenter Township Public Library,http://rctpl.com/,IN,39.849426,-86.258278,,
Rockville Public Library - Indiana,http://rockvillepl.lib.in.us/,IN,39.849426,-86.258278,,
Rushville Public Library,http://www.rushvillelibrary.com/,IN,39.849426,-86.258278,,
